25,7,18
26,7,20
27,7,19
28,7,17
37,10,28
38,10,25
39,10,26
40,10,27
41,11,31
42,11,30
43,11,29
44,11,32
45,12,39
46,12,37
47,12,38
48,12,40
49,13,35
50,13,36
51,13,34
52,13,33
53,14,47
54,14,48
55,14,45
56,14,46
57,15,51
58,15,52
59,15,49
60,15,50
61,16,53
62,16,56
63,16,55
64,16,54
65,17,58
66,17,60
67,17,59
68,17,57
73,19,70
74,19,72
75,19,71
76,19,73
77,20,76
78,20,75
79,20,74
80,20,77
81,21,81
82,21,80
83,21,78
84,21,79
85,22,83
86,22,84
87,22,82
88,22,85
89,23,86
90,23,88
91,23,87
92,23,89
105,27,90
106,27,93
107,27,91
108,27,92
109,28,94
110,28,97
111,28,96
112,28,95
117,30,103
118,30,102
119,30,104
120,30,105
121,31,107
122,31,109
123,31,106
124,31,108
125,32,113
126,32,111
127,32,110
128,32,112
129,33,114
130,33,116
131,33,117
132,33,115
133,34,123
134,34,124
135,34,122
136,34,125
137,35,130
138,35,133
139,35,131
140,35,132
141,36,134
142,36,136
143,36,135
144,36,137
145,37,140
146,37,139
147,37,138
148,37,141
149,38,144
150,38,145
151,38,143
152,38,142
153,39,147
154,39,149
155,39,146
156,39,148
157,40,151
158,40,153
159,40,152
160,40,150
161,41,157
162,41,155
163,41,156
164,41,154
165,42,158
166,42,161
167,42,160
168,42,159
169,43,164
170,43,165
171,43,163
172,43,162
173,44,166
174,44,168
175,44,169
176,44,167
177,45,176
178,45,177
179,45,175
180,45,174
181,46,179
182,46,181
183,46,178
184,46,180
185,47,182
186,47,185
187,47,184
188,47,183
189,48,187
190,48,189
191,48,186
192,48,188
193,49,192
194,49,191
195,49,193
196,49,190
197,50,198
198,50,199
199,50,201
200,50,200
213,54,205
214,54,203
215,54,202
216,54,204
241,61,220
242,61,221
243,61,219
244,61,222
245,62,225
246,62,223
247,62,224
248,62,226
249,63,228
250,63,230
251,63,229
252,63,227
273,69,234
274,69,231
275,69,233
276,69,232
277,70,236
278,70,237
279,70,235
280,70,238
281,71,241
282,71,240
283,71,242
284,71,239
285,72,246
286,72,245
287,72,244
288,72,243
289,73,247
290,73,248
291,73,249
292,73,250
293,74,258
294,74,256
295,74,257
296,74,251
297,75,254
298,75,255
299,75,252
300,75,253
305,77,274
306,77,272
307,77,273
308,77,271
313,79,278
314,79,277
315,79,275
316,79,276
317,80,214
318,80,218
319,80,216
320,80,215
325,82,285
326,82,286
327,82,283
328,82,284
333,84,297
334,84,298
335,84,296
336,84,295
337,85,291
338,85,293
339,85,292
340,85,294
341,86,299
342,86,302
343,86,301
344,86,300
345,87,306
346,87,303
347,87,304
348,87,305
349,88,309
350,88,308
351,88,307
352,88,310
