7,4,12,\N
10,5,17,\N
11,6,19,\N
12,8,24,\N
13,7,26,\N
14,9,29,\N
15,10,34,\N
16,11,36,\N
17,12,39,\N
19,15,46,\N
20,16,49,\N
21,17,51,\N
22,18,53,\N
23,19,57,\N
27,20,62,\N
28,21,63,\N
30,23,71,\N
31,24,72,\N
32,25,74,\N
33,26,75,\N
34,28,79,\N
35,30,82,\N
36,31,84,\N
37,32,85,\N
38,33,89,\N
39,34,92,\N
40,35,93,\N
41,36,96,\N
42,37,97,\N
43,38,98,\N
44,39,101,\N
45,41,104,\N
46,42,106,\N
47,43,107,\N
48,44,108,\N
49,45,110,\N
50,47,118,\N
54,48,123,\N
61,52,131,\N
62,53,135,\N
63,54,136,\N
69,55,142,\N
70,56,147,\N
71,57,148,\N
72,58,149,\N
73,59,151,\N
74,60,153,\N
75,60,153,\N
77,62,159,\N
79,63,161,\N
80,51,163,\N
82,64,166,\N
84,65,169,\N
85,66,171,\N
86,67,172,\N
87,68,174,\N
88,69,176,\N
