1,s1,s1,1,\N
2,s2,s2,1,\N
3,s3,s3,1,\N
4,s4,s4,1,\N
5,pogs1.1,pogs1.1,2,\N
6,pogs1.2,pogs1.2,2,\N
7,pogs1.3,pogs1.3,2,\N
8,pogs1.4,pogs1.4,2,\N
9,pogs2.1,pogs2.1,3,\N
10,pogs2.2,pogs2.2,3,\N
11,pogs2.3,pogs2.3,3,\N
12,pogs2.4,pogs2.4,3,\N
13,pogs2.5,pogs2.5,3,\N
14,pogs2.6,pogs2.6,3,\N
15,pogs2.7,pogs2.7,3,\N
16,pogs2.8,pogs2.8,3,\N
17,pogs3.1,pogs3.1,4,\N
18,pogs3.2,pogs3.2,4,\N
19,pogs3.3,pogs3.3,4,\N
20,pogs3.4,pogs3.4,4,\N
21,pogs4.1,pogs4.1,5,\N
22,pogs4.2,pogs4.2,5,\N
23,pogs4.3,pogs4.3,5,\N
24,pogs4.4,pogs4.4,5,\N
25,pogs4.1.1,pogs4.1.1,5,\N
26,pogs4.2.1,pogs4.2.1,5,\N
27,pogs4.3.1,pogs4.3.1,5,\N
28,pogs4.4.1,pogs4.4.1,5,\N
29,pogs5.1,pogs5.1,6,\N
30,pogs5.2,pogs5.2,6,\N
31,pogs5.3,pogs5.3,6,\N
32,pogs5.4,pogs5.4,6,\N
33,pogs6.1,pogs6.1,7,\N
34,pogs6.2,pogs6.2,7,\N
35,pogs6.3,pogs6.3,7,\N
36,pogs6.4,pogs6.4,7,\N
37,pogs7.1,pogs7.1,8,\N
38,pogs7.2,pogs7.2,8,\N
39,pogs7.3,pogs7.3,8,\N
40,pogs7.4,pogs7.4,8,\N
41,pogs6.1.1,pogs6.1.1,7,\N
42,pogs6.2.1,pogs6.2.1,7,\N
43,pogs6.3.1,pogs6.3.1,7,\N
44,pogs6.4.1,pogs6.4.1,7,\N
45,pogs8.1,pogs8.1,9,\N
46,pogs8.2,pogs8.2,9,\N
47,pogs8.3,pogs8.3,9,\N
48,pogs8.4,pogs8.4,9,\N
49,pogs9.1,pogs9.1,10,\N
50,pogs9.2,pogs9.2,10,\N
51,pogs9.3,pogs9.3,10,\N
52,pogs9.4,pogs9.4,10,\N
53,pogs10.1,pogs10.1,11,\N
54,pogs10.2,pogs10.2,11,\N
55,pogs10.3,pogs10.3,11,\N
56,pogs10.4,pogs10.4,11,\N
57,pogs11.1,pogs11.1,12,\N
58,pogs11.2,pogs11.2,12,\N
59,pogs11.3,pogs11.3,12,\N
60,pogs11.4,pogs11.4,12,\N
61,pogs12.1,pogs12.1,13,\N
62,pogs12.2,pogs12.2,13,\N
63,pogs12.3,pogs12.3,13,\N
64,pogs12.4,pogs12.4,13,\N
65,pogs13.1,pogs13.1,14,\N
66,pogs13.2,pogs13.2,14,\N
67,pogs13.3,pogs13.3,14,\N
68,pogs13.4,pogs13.4,14,\N
69,,,14,\N
70,pogs14.1,pogs14.1,15,\N
71,pogs14.2,pogs14.2,15,\N
72,pogs14.3,pogs14.3,15,\N
73,pogs14.4,pogs14.4,15,\N
74,pogs15.1,pogs15.1,16,\N
75,pogs15.2,pogs15.2,16,\N
76,pogs15.3,pogs15.3,16,\N
77,pogs15.4,pogs15.4,16,\N
78,pogs16.1,pogs16.1,17,\N
79,pogs16.2,pogs16.2,17,\N
80,pogs16.3,pogs16.3,17,\N
81,pogs16.4,pogs16.4,17,\N
82,pogs17.1,pogs17.1,18,\N
83,pogs17.2,pogs17.2,18,\N
84,pogs17.3,pogs17.3,18,\N
85,pogs17.4,pogs17.4,18,\N
86,pogs18.1,pogs18.1,19,\N
87,pogs18.2,pogs18.2,19,\N
88,pogs18.3,pogs18.3,19,\N
89,pogs18.4,pogs18.4,19,\N
90,pogs19.1,pogs19.1,20,\N
91,pogs19.2,pogs19.2,20,\N
92,pogs19.3,pogs19.3,20,\N
93,pogs19.4,pogs19.4,20,\N
94,pogs20.1,pogs20.1,21,\N
95,pogs20.2,pogs20.2,21,\N
96,pogs20.3,pogs20.3,21,\N
97,pogs20.4,pogs20.4,21,\N
98,s21,s21,22,\N
99,s22,s22,22,\N
100,s23,s23,22,\N
101,s24,s24,22,\N
102,pogs21.1,pogs21.1,23,\N
103,pogs21.2,pogs21.2,23,\N
104,pogs21.3,pogs21.3,23,\N
105,pogs21.4,pogs21.4,23,\N
106,pogs22.1,pogs22.1,24,\N
107,pogs22.2,pogs22.2,24,\N
108,pogs22.3,pogs22.3,24,\N
109,pogs22.4,pogs22.4,24,\N
110,pogs23.1,pogs23.1,25,\N
111,pogs23.2,pogs23.2,25,\N
112,pogs23.3,pogs23.3,25,\N
113,pogs23.4,pogs23.4,25,\N
114,pogs24.1,pogs24.1,26,\N
115,pogs24.2,pogs24.2,26,\N
116,pogs24.3,pogs24.3,26,\N
117,pogs24.4,pogs24.4,26,\N
118,pogs25.1,pogs25.1,27,\N
119,pogs25.2,pogs25.2,27,\N
120,pogs25.3,pogs25.3,27,\N
121,pogs25.4,pogs25.4,27,\N
122,pogs26.1,pogs26.1,28,\N
123,pogs26.2,pogs26.2,28,\N
124,pogs26.3,pogs26.3,28,\N
125,pogs26.4,pogs26.4,28,\N
126,pogs27.1,pogs27.1,29,\N
127,pogs27.2,pogs27.2,29,\N
128,pogs27.3,pogs27.3,29,\N
129,pogs27.3,pogs27.3,29,\N
130,pogs28.1,pogs28.1,30,\N
131,pogs28.2,pogs28.2,30,\N
132,pogs28.3,pogs28.3,30,\N
133,pogs28.4,pogs28.4,30,\N
134,pogs29.1,pogs29.1,31,\N
135,pogs29.2,pogs29.2,31,\N
136,pogs29.3,pogs29.3,31,\N
137,pogs29.4,pogs29.4,31,\N
138,pogs30.1,pogs30.1,32,\N
139,pogs30.2,pogs30.2,32,\N
140,pogs30.3,pogs30.3,32,\N
141,pogs30.4,pogs30.4,32,\N
